Para analizar los resultados podés bajar el .csv (Archivo > Descargar como),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recordá calificar a la empresa donde estás trabajando en www.openqube.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Usá el código ENCUESTA en la tienda de sysarmy y llevate un 10% de descuento!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,Esta obra está bajo una Licencia Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dónde estás trabajando;Tipo de contrato;Salario mensual o retiro BRUTO (en tu moneda local);Salario mensual o retiro NETO (en tu moneda local);Pagos en dólares;¿Cuál fue el último valor de dólar que tomaron?;¿Qué tan conforme estás con tu sueldo?;Cómo creés que está tu sueldo con respecto al último semestre;Recibís algún tipo de bono;A qué está atado el bono;¿Tuviste ajustes por inflación durante 2021?;¿De qué % fue el ajuste total?;¿En qué mes fue el último ajuste?;Trabajo de;Años de experiencia;Años en la empresa actual;Años en el puesto actual;¿Gente a cargo?;Plataformas;Lenguajes de programación o tecnologías.;Frameworks, herramientas y librerías;Bases de datos;QA / Testing;IDEs;Cantidad de personas en tu organización;Trabajo para una empresa que no tiene oficina en mi ciudad;Actividad principal;¿La recomendás como un buen lugar para trabajar?;¿Cómo calificás las políticas de diversidad e inclusión?;Beneficios extra;Nivel de estudios alcanzado;Estado;Carrera;Universidad;Realizaste cursos de especialización;¿Contribuís a proyectos open source?;¿Programás como hobbie?;¿Tenés guardias?;Cuánto cobrás por guardia;¿Porcentaje, bruto o neto?;¿Sufriste o presenciaste situaciones de violencia laboral?;¿Tenés algún tipo de discapacidad?;¿Sentís que esto te dificultó el conseguir trabajo?;¿Cómo venís llevando la pandemia?;¿Tenés hijos/as menores de edad?;¿Con cuántas personas estás conviviendo?;¿Con quiénes convivís?;¿Tenés un espacio dedicado para el trabajo?;¿Tenés que compartir tu equipo de trabajo con alguien?;¿Qué tipo de cuarentena hiciste / estás haciendo?;¿Cambió tu situación laboral a raíz de la pandemia?;¿Qué tanto sentís que te está apoyando tu empresa/organización en esta situación?;¿Cómo se vio afectada tu empresa/organización?;¿Instauraron algún beneficio nuevo?;Tengo;Me identifico
Chaco;Full-Time;280000;179000;Mi sueldo está dolarizado (pero cobro en moneda local);99.25;3;3;Menos de un sueldo;Mix de las anteriores;Uno;25;5;Developer;6;0;0;0;Amazon Web Services| Docker| Serverless;Go| Java;GinGonic;Amazon DynamoDB;Pytest;IntelliJ;501-1000;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;9;10;Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Comidas pagas / subvencionadas| Horarios flexibles;;;;;;;;;;;;;;;;;;;;;;;;;30;Varón Cis
Chaco;Full-Time;182000;182000;;;4;3;No;No recibo bono;Uno;40;4;Developer;15;1;1;0;Amazon Web Services| Azure| Docker| Kubernetes| Linux| Windows Server;.NET| ActionScript| C#| CSS| HTML| Javascript| SQL| TypeScript;.NET Core| Angular| Bootstrap| jQuery| SAP;Microsoft SQL Server| PostgreSQL;Ninguna de las anteriores;Notepad++| Visual Studio| Visual Studio Code;51-100;Trabajo para una empresa que no tiene oficina en mi ciudad;Servicios / Consultoría de Software / Digital;8;9;Capacitaciones y/o cursos| Clases de idiomas;;;;;;;;;;;;;;;;;;;;;;;;;41;Varón Cis
Chaco;Full-Time;92180;74819;Mi sueldo está dolarizado (pero cobro en moneda local);100.25;2;4;No;No recibo bono;Uno;10;3;QA / Tester;1;1;1;0;Docker| Linux;Bash/Shell| CSS| HTML| Java| Javascript;React.js;MongoDB;Cucumber| JUnit| Postman| Selenium;Sublime Text| Visual Studio Code| WebStorm;10001+;;Servicios / Consultoría de Software / Digital;10;10;Abono de Internet| Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc)| Horarios flexibles| Lactario en la oficina| Vacaciones flexibles (adicionales a las reglamentarias);Universitario;En curso;Ingeniería en Sistemas de Información;UTN - Universidad Tecnológica Nacional;Sí| de forma particular;No;Sí;No;0;Bruto;;;;;;;;;;;;;;;24;Varón Cis
Chaco;Remoto (empresa de otro país);49500;44000;Cobro en dólares;;4;4;No;No recibo bono;No;0;0;Developer;0;0;0;0;Amazon Web Services| Heroku;Javascript;Node.js;PostgreSQL;Jest;Vim| Visual Studio Code;51-100;Trabajo para una empresa que no tiene oficina en mi ciudad;Servicios / Consultoría de Software / Digital;7;9;Clases de idiomas;Universitario;En curso;Ingeniería en Sistemas de Información;UNCAUS;Sí| de forma particular;No;No;No;0;Porcentaje de mi sueldo;Jamás;;Sí;;;;;;;;;;;;25;Varón Cis
Chaco;Full-Time;70000;60000;Mi sueldo está dolarizado (pero cobro en moneda local);106;3;3;Un sueldo;Mix de las anteriores;No;0;0;Developer;1;0;0;0;Docker| Linux;Java| Javascript;Node.js| Spring| TensorFlow;MySQL;Jest| JUnit;IntelliJ| Visual Studio Code;101-200;;Servicios / Consultoría de Software / Digital;9;9;Abono de Internet| Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Comidas pagas / subvencionadas| Horarios flexibles;Universitario;En curso;Ingeniería en Sistemas de Información;UTN - Universidad Tecnológica Nacional;Sí| de forma particular| Sí| los pagó un empleador;No;Sí;Sí| pasiva;20000;Neto;Jamás;;No;4;0;0;Vivo solo/a;Sí;No;3;Cambié de trabajo| pero no por la pandemia;9;No la afectó;Clases de gimnasia| Clases de meditación| Clases de yoga| Pago de abono de Internet;31;Varón Cis
Chaco;Full-Time;90000;75000;;;3;3;Menos de un sueldo;Performance individual;Uno;15;3;Developer;3;1;0;0;Windows Server;CSS| HTML| Javascript| SQL;Angular| Bootstrap| jQuery| Node.js;Microsoft SQL Server;Ninguna de las anteriores;Visual Studio Code;501-1000;;Producto basado en Software;9;9;Capacitaciones y/o cursos| Licencia de paternidad / maternidad extendida;Universitario;Completado;Licenciatura en Administración;UCP;Sí| de forma particular| Sí| los pagó un empleador;No;Sí;No;0;Porcentaje de mi sueldo;Jamás;;;4;1;3;Pareja| Hijos/as (tiempo completo);No;No;4;Conseguí trabajo;9;No la afectó| Se vio beneficiada;Ninguna de las anteriores;34;Varón Cis
Chaco;Full-Time;120000;106000;Cobro parte de mi sueldo en otro país;;4;4;No;No recibo bono;Uno;20;4;QA / Tester;3;0;3;0;Ninguna de las anteriores;Javascript;Cypress;MySQL;Cypress;Visual Studio Code;101-200;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;9;6;Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Comidas pagas / subvencionadas| Cuota para universidad / posgrados| Horarios flexibles| Lactario en la oficina| Licencia de paternidad / maternidad extendida| Vacaciones flexibles (adicionales a las reglamentarias);;;;;;;;;;;;;;;;;;;;;;;;;26;Varón Cis
Chaco;Full-Time;191000;;Mi sueldo está dolarizado (pero cobro en moneda local);;2;2;No;No recibo bono;Uno;27;1;Developer;5;2;2;0;Docker| Linux;CSS| HTML| Javascript;jQuery| React.js;PostgreSQL;Ninguna de las anteriores;Sublime Text| Visual Studio Code;2001-5000;Trabajo para una empresa que no tiene oficina en mi ciudad;Servicios / Consultoría de Software / Digital;8;10;Abono de Internet| Capacitaciones y/o cursos| Clases de idiomas| Horarios flexibles;;;;;;;;;;;;;;;;;;;;;;;;;31;Varón Cis
Chaco;Full-Time;122100;101000;;;2;2;No;No recibo bono;Uno;7;2;Developer;12;0;0;0;Azure| Windows Server;.NET| Javascript;.NET Core| Bootstrap| React.js;Microsoft SQL Server;Ninguna de las anteriores;Visual Studio| Visual Studio Code;Nov-50;;Otras industrias;8;0;Licencia de paternidad / maternidad extendida;Universitario;Incompleto;Licenciatura en Informática;Universidad Siglo 21;Sí| de forma particular;Sí;Sí;No;0;Porcentaje de mi sueldo;Jamás;;;2;0;3;Familia de origen (madre/padre/hermanos/as);No;No;3;Decidí buscar otro trabajo;8;Se vio beneficiada;Compra de accesorios (escritorio| monitor| teclado| mouse| etc);34;Prefiero no decir
Chaco;Full-Time;71700;69053.78;;;2;2;No;No recibo bono;No;0;0;Developer;4;0;3;0;Docker| Linux;PHP;Bootstrap| jQuery| Symfony;MySQL;Ninguna de las anteriores;Visual Studio Code;Nov-50;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;8;0;Horarios flexibles;Terciario;En curso;Tecnicatura en Programación;UTN - Universidad Tecnológica Nacional;Sí| de forma particular;No;Sí;No;0;Porcentaje de mi sueldo;En un trabajo anterior;;;4;0;1;Familia de origen (madre/padre/hermanos/as);Sí;No;2;Cambié de trabajo| pero no por la pandemia;8;No la afectó;Ninguna de las anteriores;28;Varón Cis
Chaco;Full-Time;184184;;Cobro en dólares;101;3;4;De uno a tres sueldos;Performance individual;Dos;25;7;Developer;3;1;2;0;Amazon Web Services;Bash/Shell| Go| Java;Ninguno de los anteriores;Amazon DynamoDB;JUnit| Postman;IntelliJ;1001-2000;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;10;0;Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Comidas pagas / subvencionadas| Cuota para universidad / posgrados| Horarios flexibles| Licencia de paternidad / maternidad extendida| Vacaciones flexibles (adicionales a las reglamentarias)| Reintegro de Spotify y Netflix;Terciario;Completado;Tecnicatura Superior en Programación;Teclab ;Sí| de forma particular| Sí| los pagó un empleador;No;Sí;No;0;Porcentaje de mi sueldo;En un trabajo anterior;;;4;0;1;Pareja;No;No;4;Decidí buscar otro trabajo;10;No la afectó;Almuerzo o delivery de snacks/bebidas (saludables o para after office)| Clases de gimnasia| Clases de meditación| Clases de yoga| Compra de accesorios (escritorio| monitor| teclado| mouse| etc)| Pago de abono de otros servicios;24;Varón Cis
Chaco;Full-Time;126000;100000;Cobro parte de mi sueldo en otro país, Mi sueldo está dolarizado (pero cobro en moneda local);96;3;4;No;No recibo bono;No;0;0;Developer;15;2;2;0;Amazon Web Services| Docker;CSS| HTML| Javascript| PHP| SQL;jQuery| Node.js| React.js;MySQL| Redis;PHPUnit;PHPStorm;51-100;;Servicios / Consultoría de Software / Digital;8;9;Clases de idiomas| Comidas pagas / subvencionadas| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc)| Horarios flexibles| Stock options / RSUs;;;;;;;;;;;;;;;;;;;;;;;;;39;Varón Cis
Chaco;Full-Time;84000;70000;;;4;4;No;No recibo bono;No;0;0;Developer;1;0;1;0;Amazon Web Services| Heroku| Linux;Python;Bootstrap| Django| jQuery;PostgreSQL| Redis;Ninguna de las anteriores;Sublime Text| Visual Studio Code;10-Jan;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;8;0;Horarios flexibles| Ninguna de las anteriores;Universitario;Incompleto;Ingeniería en Sistemas de Información;UNCAus;Sí| de forma particular;No;Sí;No;0;Porcentaje de mi sueldo;Jamás;;No;3;0;1;Pareja;No;Sí;3;Cambié de trabajo| pero no por la pandemia;9;No sé.;No sé.;26;Varón Cis
Chaco;Part-Time;27500;22000;;;1;1;No;No recibo bono;No;0;0;Developer;5;0;0;0;Amazon Web Services| Docker| Firebase| Linux;CSS| HTML| Javascript| PHP;Bootstrap| jQuery| React.js| WordPress;MySQL;Ninguna de las anteriores;Visual Studio Code;10-Jan;Trabajo para una empresa que no tiene oficina en mi ciudad;Servicios / Consultoría de Software / Digital;3;9;Ninguna de las anteriores;Terciario;Completado;Tecnicatura Superior en Programación;UTN - Universidad Tecnológica Nacional;Sí| de forma particular;Sí;Sí;No;0;Porcentaje de mi sueldo;En un trabajo anterior;;;1;0;2;Pareja| Hermana mayor con discapacidad intelectual;No;No;4;Me despidieron;1;Despidió a algunas personas;Ninguna de las anteriores;35;Mujer Cis
Chaco;Part-Time;27500;22000;;;1;1;No;No recibo bono;No;0;0;Developer;5;0;0;0;Amazon Web Services| Azure| Docker| Linux;CSS| HTML| Javascript| PHP| TypeScript;Bootstrap| Node.js| React.js| WordPress;MySQL;Ninguna de las anteriores;Visual Studio Code;10-Jan;Trabajo para una empresa que no tiene oficina en mi ciudad;Servicios / Consultoría de Software / Digital;1;9;Ninguna de las anteriores;Terciario;Completado;Tecnicatura Superior en Programación;UTN - Universidad Tecnológica Nacional;Sí| de forma particular;Sí;Sí;No;0;Bruto;En un trabajo anterior;;;1;0;2;Pareja| hermana con discapacidad intelectual;No;No;4;Me despidieron;1;Despidió a algunas personas;Ninguna de las anteriores;35;Mujer Cis
Chaco;Full-Time;189000;138000;Mi sueldo está dolarizado (pero cobro en moneda local);95;1;2;No;No recibo bono;No;0;0;Developer;3;1;3;0;Amazon Web Services| Kubernetes| Linux;Bash/Shell| HTML| Javascript| TypeScript;Angular| React.js;MySQL;Cypress| Jest| Mocha| Postman| Selenium;Emacs;101-200;Trabajo para una empresa que no tiene oficina en mi ciudad;Servicios / Consultoría de Software / Digital;7;6;Capacitaciones y/o cursos| Clases de idiomas;;;;;;;;;;;;;;;;;;;;;;;;;28;Varón Cis
Chaco;Full-Time;92000;74600;Mi sueldo está dolarizado (pero cobro en moneda local);100.21;2;4;No;No recibo bono;Uno;15;3;QA / Tester;1;1;1;0;Docker| Google Cloud Platform/App Engine| Linux;Bash/Shell| Java| Javascript;jQuery| Node.js| React.js;Ninguna de las anteriores;Cucumber| JUnit| Postman| Selenium;IntelliJ| Sublime Text| Visual Studio Code| WebStorm;10001+;;Servicios / Consultoría de Software / Digital;10;10;Abono de Internet| Capacitaciones y/o cursos| Descuento en gimnasios / Clases de gimnasia online| Clases de idiomas| Descuentos varios (Mercado Pago| Clarín 365| Club La Nación| etc)| Horarios flexibles;Universitario;En curso;Ingeniería en Sistemas de Información;UTN - Universidad Tecnológica Nacional;Sí| de forma particular| Sí| los pagó un empleador;No;Sí;No;0;Neto;En un trabajo anterior;;;4;0;0;Vivo solo/a;Sí;No;2;No;10;No la afectó;Clases de gimnasia| Clases de yoga| Pago de abono de Internet| Work From Home;24;Varón Cis
Chaco;Full-Time;84000;69856;;;3;3;Menos de un sueldo;Performance individual;No;0;0;Technical Business Analyst;0;0;0;0;Ninguna de las anteriores;Ninguno de los anteriores;Ninguno de los anteriores;MySQL;Ninguna de las anteriores;Visual Studio Code;Nov-50;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;8;9;Clases de idiomas| Pago de hasta 3000 mensuales para lo que queramos;Universitario;En curso;Licenciatura en Administración;UNNE- Universidad Nacional del Nordeste;Sí| de forma particular;No;Sí;No;0;Porcentaje de mi sueldo;;;;;;;;;;;;;;;28;Mujer Cis
Chaco;Part-Time;retiro BRUTO;25000;;;2;2;No;No recibo bono;No;0;0;Developer;1;1;2;0;Ninguna de las anteriores;CSS| HTML| Javascript;Bootstrap| Node.js| Vue.js;MySQL;Ninguna de las anteriores;Visual Studio Code;10-Jan;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;6;6;Horarios flexibles;;;;;;;;;;;;;;;;;;;;;;;;;25;Varón Cis
Chaco;Full-Time;35000;35000;;;1;1;No;No recibo bono;No;0;0;Developer;0;0;0;0;Amazon Web Services| Docker| Linux| Odoo;Javascript| Python| SQL;Odoo;PostgreSQL;Ninguna de las anteriores;Vim;Nov-50;Trabajo para una empresa que no tiene oficina en mi ciudad;Producto basado en Software;6;10;Ninguna de las anteriores;;;;;;;;;;;;;;;;;;;;;;;;;25;Varón Cis
